"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"e:\Coding\Python\Chess-AI\README.md", "Markdown", 0, 18, 0, 10, 28
"e:\Coding\Python\Chess-AI\board.py", "Python", 40, 0, 11, 9, 60
"e:\Coding\Python\Chess-AI\chess_ai.py", "Python", 1, 0, 1, 1, 3
"e:\Coding\Python\Chess-AI\game.py", "Python", 15, 0, 2, 4, 21
"e:\Coding\Python\Chess-AI\moves.py", "Python", 157, 0, 77, 44, 278
"e:\Coding\Python\Chess-AI\piece_check.py", "Python", 194, 0, 64, 15, 273
"Total", "-", 407, 18, 155, 83, 663
